id,title,date,author,folio,text
10_25_1,Allerneuester Erziehungsplan,1810-10-29,Heinrich von Kleist,[[ba_10_25.md]],"Zu welchen abentheuerlichen Unternehmungen, sei es nun das Bedürfniß, sich auf eine oder die andere Weise zu ernähren, oder auch die bloße Sucht, neu zu sein, die Menschen verführen, und wie lustig dem zufolge oft die Insinuationen sind, die an die Redaction dieser Blätter einlaufen: davon möge folgender Aufsatz, der uns kürzlich zugekommen ist, eine Probe sein.

Allerneuester Erziehungsplan.

Hochgeehrtes Publicum, Die Experimental-Physik, in dem Capitel von den Eigenschaften elektrischer Körper, lehrt, daß wenn man in der Nähe dieser Körper, oder, um kunstgerecht zu reden, in ihre Atmosphäre, einen unelektrischen (neutralen) Körper bringt, dieser plötzlich gleichfalls elektrisch wird, und zwar die entgegengesetzte Elektricität annimmt. Es ist als ob die Natur einen Abscheu hätte, gegen Alles, was, durch eine Verbindung von Umständen, einen überwiegenden und unförmlichen Werth angenommen hat; und zwischen je zwei Körpern, die sich berühren, scheint ein Bestreben angeordnet zu sein, das ursprüngliche Gleichgewicht, das zwischen ihnen aufgehoben ist, wieder herzustellen. Wenn der elektrische Körper positiv ist: so flieht, aus dem unelektrischen Alles, was an natürlicher Elektricität darin vorhanden ist, in den äußersten und entferntesten Raum desselben, und bildet, in den, jenen zunächst liegenden, Theilen eine Art von Vacuum, das sich geneigt zeigt, den Elektricitäts-Ueberschuß, woran jener, auf gewisse Weise, krank ist, in sich aufzunehmen; und ist der elektrische Körper negativ, so häuft sich, in dem unelektrischen, und zwar in den Theilen, die dem elektrischen zunächst liegen, die natürliche Elektricität schlagfertig an, nur auf den Augenblick harrend, den Elektricitäts-Mangel umgekehrt, woran jener krank ist, damit zu ersetzen. Bringt man den unelektrischen Körper in den Schlagraum des elektrischen, so fällt, es sei nun von diesem zu jenem, oder von jenem zu diesem, der Funken: das Gleichgewicht ist hergestellt, und beide Körper sind einander an Elektricität, völlig gleich.

Dieses höchst merkwürdige Gesetz findet sich, auf eine, unseres Wissens, noch wenig beachtete Weise, auch in der moralischen Welt; dergestalt, daß ein Mensch, dessen Zustand indifferent ist, nicht nur augenblicklich aufhört, es zu sein, sobald er mit einem Anderen, dessen Eigenschaften, gleichviel auf welche Weise, bestimmt sind, in Berührung tritt: sein Wesen sogar wird, um mich so auszudrücken, gänzlich in den entgegengesetzten Pol hinübergespielt; er nimmt die Bedingung + an, wenn jener von der Bedingung —, und die Bedingung —, wenn jener von der Bedingung + ist.

(Die Fortsetzung folgt.)"
10_32_1,Warnung gegen weibliche Jägerei. (Beschluß.),1810-11-06,Achim von Arnim,[[ba_10_32.md]],"Warnung gegen weibliche Jägerei.

(Beschluß.)

In dem Augenblicke krachte der Wagen über eine Wurzel, daß der arme Abbé kein Wort sagen konnte, sondern um sich verständlich zu machen, den Rock aufknöpfte; das Tuch fiel herunter und das Blut floß in großer Menge herab. — Mein Gott, rief der Wundarzt, sind sie auch verwundet, wahrhaftig! ja, da muß man sich hier nichts draus machen, ich habe heute auch ein Paar Schroten von der Frau Gräfin in das dicke Fleisch bekommen, es macht ihr so viel Vergnügen und ich singe lustig dabei:

Der gute Abbé, der eine gewisse Kränkung empfunden hatte, wie er erst so verbindlich in dem Hause aufgenommen und im Unglücke so ganz vergessen sei, mußte jetzt selbst lächlen, als er bei dieser Anzeige bemerkte, wie er sich beim Falle auf dem feuchten Boden beschmutzt hatte, dabei über nahm ihn eine Ohnmacht, von der er erst im Schlosse erwachte. Ich sah ihn mehrere Jahre nach diesem Vorfalle, den er glücklich überstanden hatte; ich fühlte die Kugel, sie hatte sich wohl zwei Hände breit hinter den Rippen niedergesenkt, und war jetzt unter denselben fühlbar. Zuweilen litt er noch an Schmerzen und versicherte, daß alle Gefahren, die von den Dichtern einem gewissen Bogengeschoß aus weiblichen Augen nachgesagt würden, nicht mit den Gefahren weiblicher Jägerei zu vergleichen wären, denn die Geschicklichkeit Dianens mögte wohl so selten geworden sein, wie ihre anderen Eigenschaften.

vaa."
10_18_3,Warum werden die Abendblätter nicht auch Sonntags ausgegeben?,1810-10-20,Friedrich de la Motte-Fouqué,[[ba_10_18.md]],"Warum werden die Abendblätter nicht auch Sonntags ausgegeben?

Diese Frage that ein junger Bürger an seinen Vater und verwunderte sich dabei sehr über eine solche Unterbrechung. Der alte Mann antwortete: Weil Schreiber, Drucker, Herumträger und was dazu gehört, am heiligen Sonntage Gott dem Herren dienen wollen und nachher auch fröhlich sein, im Herrn. Da ist nichts zu verwundern. Daß aber in einer Christenstadt ein Christenmensch so was fragen kann, da muß ich mich sehr darüber verwundern und auch sehr betrüben, mein Sohn!

d. l. M. F."
10_67_2,Bülletin der öffentlichen Blätter (17.12.1810),1810-12-17,Redaktion,[[ba_10_67.md]],"Bülletin der öffentlichen Blätter.

Am 27sten Nov. war in Petersburg der Wechsel-Cours 7 à 6¾ Schilling Banko. Dieser unglaublich niedrige Stand des Wechselcours erinnert an die gleiche Lage der Dinge in Oestreich. Auf gleiche Weise wie dort, hat die Petersburger Kaufmannschaft aus ihrer Mitte eine Committee zu Untersuchung der Ursachen niedergesetzt. Der Finanzminister hat diese Maasregel in Vorschlag gebracht, und Sr. Majestät der Kaiser haben sie bestätigt. (Hamb. Corr.)

In Wien erhalten die Truppen wegen des niedrigen Standes der Bankzettel vierfache Löhnung. (ibid) Sr. Päbstl. Heiligkeit haben am 12ten Nov. die Tochter des Generals Cäsar Berthier ehelich eingesegnet. (L. d. B.)

Das Begräbniß des Reichsmarschall Fersen ist in Stokholm am 4. Dec. mit größtem Gepränge unter dem Donner von 80 Kanonenschüßen vollzogen worden. (Hamb. Corr.)

In dem Mayländer officiellen Blatt werden aus Nizza die fürchterlichen Fortschritte der Pest (nicht des gelben Fiebers) an der Südküste von Spanien beschrieben. (ibid.)

Auf dem bevorstehenden Landtage in Sachsen werden Veränderungen von der größten Wichtigkeit proponirt werden. Es wird eine Territorialeintheilung nach Präfecturen statt haben, und der Code Napoleon mit einigen Modificationen wird eingeführt werden.

(H. neue Zeitung.)"
10_28_1,Herausforderung Karls IX. Königs von Schweden an Christian IV.,1810-11-01,Heinrich von Kleist,[[ba_10_28.md]],"Herausforderung Karls IX. Königs von Schweden an Christian IV. König von Dänemark.

Die allgemeine Moden-Zeitung, welche sich vortheilhaft, vor ähnlichen Instituten dieser Art, auszeichnet, liefert ein Paar interessante Aktenstücke aus dem 17ten Jahrhundert, in welchen zwei europäische Potentaten einander herausfordern. Da diese Zeitung nicht in jedermanns Händen ist, so wollen wir die besagten Aktenstücke unsern Lesern hier mittheilen."
10_21_7,(Anzeige) J. E. Hitzig,1810-10-24,Julius E. Hitzig,[[ba_10_21.md]],"Interessante Schriften, welche in der Buchhandlung von J. E. Hitzig zu haben sind.

Sapphus Lesbiae Carmina et fragmenta. Recensuit, Commentario illustravit. Schemata musica adjecit et Indices confecit Henr. Frid. Magnus Volger, Paedagogii Regii Ilfeldensis Collaborator 1 thl."
10_30_4,Zeichen.,1810-11-03,Karl v. Woltmann [?] (oder F. G. Wetzel [?]),[[ba_10_30.md]],"Zeichen.

Hör und merk es wohl, woran du den Thoren erkennest. Er denkt dieses Geschlechts, denket der Thoren kein Mensch. Ein Fuchs wittert den andern, besagt treuherzig das Sprichwort, Kein Thor, setz’ ich hinzu, der nicht den anderen merkt.

W."
10_32_3,Als dem mittelmäßigen Alcest eine Auszeichnung widerfuhr,1810-11-06,Friedrich August v. Stägemann,[[ba_10_32.md]],"Als dem mittelmäßigen Alcest eine Auszeichnung widerfuhr.

Den Optimaten gleich behandelt ihr Alcesten? Man zählt ihn nicht, man hat ihn nur zum Besten.

sn."
10_73_5,Anzeige (24.12.1810),1810-12-24,Friedrich August Kuhn,[[ba_10_73.md]],"Anzeige.

Da der vorige Herr Verleger der Berliner Abendblätter nicht die Schicklichkeit gegen das Publikum beobachtet hat, die Blätter bis zum Schlusse des Jahres zu liefern: so haben wir uns für verpflichtet gehalten, diese Schuld abzutragen, und liefern deshalb die fehlenden Blätter, den 24sten, 27, 28, 29 und 31. Jeder, wer, der Auslieferungsliste zufolge, bei Herrn Hitzig pränumerirt hat, erhält diese Blätter gratis. Vom ersten Januar 1811 fängt das neue Abonnement an, das, wie bisher, vierteljährlich 18 gute Groschen beträgt. Das einzelne Stück kostet 8 Pfennige gutes Geld. Die Blätter werden regelmäßig in unserm Büreau, Leipziger- und Charlottenstraßen-Ecke, Nro. 36., Punkt 5 Uhr des Abends, ausgegeben. Dienstboten, und wer sonst zur Abholung geschickt wird, brauchen in Zukunft keinen Augenblick länger zu warten, als zur Empfangnahme der Blätter nöthig ist. Berlin, den 22sten Dec. 1810. Kunst- und Industrie-Comptoir."
10_40_1,Die heilige Cäcilie oder die Gewalt der Musik. Eine Legende.,1810-11-15,Heinrich von Kleist,[[ba_10_40.md]],"Die heilige Cäcilie oder die Gewalt der Musik.Eine Legende.

(Zum Taufangebinde für Cäcilie M....)

Um das Ende des sechszehnten Jahrhunderts, als die Bilderstürmerei in den Niederlanden wüthete, trafen drei Brüder, junge, in Wittenberg studierende Leute, mit einem Vierten, der in Antwerpen als Prädicant angestellt war, in der Stadt Achen zusammen. Sie wollten daselbst eine Erbschaft erheben, die ihnen von Seiten eines alten, ihnen allen unbekannten, Oheims zugefallen war, und kehrten, weil sie hofften, daß das Geschäft bald abgemacht sein würde, in einem Gasthof ein. Nach Verlauf einiger Tage, die sie damit zugebracht hatten, den Prädikanten über die merkwürdigsten Auftritte, die in den Niederlanden vorgefallen waren, anzuhören, traf es sich, daß von den Nonnen im Kloster der heiligen Cäcilie, das damals vor den Thoren dieser Stadt lag, der Frohnleichnamstag festlich begangen werden sollte; dergestalt, daß die vier Brüder, von Schwärmerei, Jugend und dem Beispiel der Niederländer erhitzt, beschlossen, auch der Stadt Achen das Schauspiel einer Bilderstürmerei zu geben. Der Prädikant, der dergleichen Unternehmungen mehr als einmal schon geleitet hatte, versammelte, am Abend zuvor, eine Anzahl junger, der neuen Lehre ergebener, Kaufmannssöhne und Studenten, welche, in dem Gasthof, bei Wein und Speisen, unter Verwünschungen des Pabstthums, die Nacht zubrachten; und der Tag über die Zinnen der Stadt aufgegangen, versahen sie sich mit Zerstörungswerkzeugen aller Art, um ihr ausgelassenes Geschäft zu beginnen. Sie verabredeten jubelnd ein Zeichen, auf welches sie damit anfangen wollten, die Fensterscheiben, mit biblischen Geschichten bemahlt, einzuwerfen; und eines großen Anhangs, den sie unter dem Volk finden würden, gewiß, verfügten sie sich, entschlossen keinen Stein auf dem anderen zu lassen, als die Glocken läuteten, in den Dom. Die Aebtissinn, die schon, in der Stunde der Mitternacht, durch einen Freund, von der Gefahr, die über dem Kloster schwebte, benachrichtigt worden war, schickte vergebens zu dem Kaiserl. Officier, der in der Stadt kommandirte, und bat ihn, zum Schutz des Klosters, um eine Wache; der Officier, der selbst ein Feind des Pabstthums, und der neuen Lehre, unter der Hand, zugethan war, wußte ihr, unter dem Vorwand, daß sie Geister sähe, und für ihr Kloster, nicht der Schatten einer Gefahr vorhanden sei, die Wache zu verweigern. Inzwischen brach die Stunde an, da die Feierlichkeiten beginnen sollten, und die Nonnen schickten sich, unter Angst und Beten, und jammervoller Erwartung der Dinge, die da kommen sollten, zur Messe an. Niemand beschützte sie, als ein alter siebzigjähriger Klostervoigt, der sich, mit einigen bewaffneten Troßknechten, am Eingang der Kirche aufstellte. In den Nonnenklöstern führen, auf das Spiel jeder Art der Instrumente geübt, die Nonnen, wie bekannt, ihre Musiken selber auf: oft mit einer Präcision, einem Verstande und einer Empfindung, die man in männlichen Orchestern (vielleicht wegen der weiblichen Geschlechtsart dieser geheimnißvollen Kunst) vermißt. Nun fügte es sich zur Verdoppelung der Bedrängniß daß die Kapellmeisterinn, Schwester Antonia, welche die Musik auf dem Orchester zu dirigiren pflegte, wenige Tage zuvor, an einem Nervenfieber, heftig erkrankte; dergestalt, daß abgesehen von den vier gotteslästerlichen Brüdern, die man bereits, in Mänteln gehüllt, unter den Pfeilern der Kirche erblickte, das Kloster auch, wegen Aufführung eines schicklichen Musikwerks, in der lebhaftesten Verlegenheit war. Die Aebtissin, die am Abend des vorhergehenden Tages befohlen hatte, daß eine uralte, von einem unbekannten Meister herrührende, italiänische Messe aufgeführt werden sollte, mit welcher die Capelle oftmals schon, einer besonderen Heiligkeit und Innigkeit wegen, mit welcher sie gedichtet war, die größesten Wirkungen hervorgebracht hatte, schickte, mehr als jemals auf ihren Willen beharrend, noch einmal zur Schwester Antonia herab, um zu hören, wie sich dieselbe befinde: die Nonne aber, die dies Geschäft übernahm, kam mit der Nachricht zurück, daß die Schwester in gänzlich bewußtlosem Zustande darniederliege, und an ihre Direktionsführung, bei der vorhabenden Musik, auf keine Weise zu denken sei. Inzwischen waren in dem Dom, in welchen sich, nach und nach, mehr denn hundert, mit Beilen und Brechstangen versehene, Frevler, von allen Ständen und Altern, eingefunden hatten, bereits die bedenklichsten Auftritte vorgefallen; man hatte einige Troßknechte, die an den Portälen standen, auf die unanständigste Weise geneckt, und sich die frechsten und unverschämtesten Aeußerungen gegen die Nonnen erlaubt, die sich hin und wieder, in frommen Geschäften, einzeln in den Hallen blicken ließen: dergestalt, daß der Klostervoigt sich in die Sakristei verfügte, und die Aebtissinn auf Knieen beschwor, das Fest einzustellen, und sich in die Stadt, unter den Schutz des Commendanten, zu begeben. Die Aebtissinn bestand unerschütterlich darauf, daß das zur Ehre Gottes angeordnete Fest begangen werden müsse; sie erinnerte den Klostervoigt an seine Pflicht, die Messe und den feierlichen Umgang, der in dem Dom gehalten werden würde, mit Leib und Leben zu beschirmen; und befahl den Nonnen, die sie zitternd umringten, ein Oratorium, das häufig in der Kirche vorgetragen wurde, obschon es von minderem Werth war, zu nehmen, und mit dessen Aufführung sofort den Anfang zu machen.

(Die Fortsetzung folgt.)"
10_01_4,(Redaktionsanzeige),1810-10-01,Heinrich von Kleist,[[ba_10_01.md]],"Von diesem Blatte erscheint täglich, mit Ausschluß des Sonntags, ein Viertelbogen, und wird in der Stunde von 5–6 Uhr Abends in der Expedition desselben, hinter der katholischen Kirche Nr. 3. zwei Treppen hoch, ausgegeben. Das Abonnement beträgt vierteljährig, also für 72 Stück, achtzehn Groschen klingendes Courant, das einzelne Blatt dagegen, kostet 8 Pf. Den Interessenten des Herrn Buchalsky kann es durch diesen in’s Haus geschickt werden; Auswärtige, die es mit den Zeitungen zugleich zu erhalten wünschen, belieben sich an das hiesige Königl. Hof-Postamt zu wenden. Die Spedition an die Buchhandlungen, jedoch nur in Monatsheften, hat der hiesige Buchhändler, J. E. Hitzig übernommen.

Berlin den 1. October 1810.Die Redaction."
